upi_id,Amount
ravi657@ibl,5175
rekha308@okicici,7667
rekha732@okhdfc,5332
naveen473@okaxis,3513
rahul272@ibl,444
sachin330@oksbi,1023
meena531@ybl,6837
sachin867@okicici,4984
priya421@ibl,5110
testuser1@okicici,9936
sneha889@oksbi,8047
neha746@okaxis,214
suresh209@oksbi,1788
vinay535@okaxis,9660
anita254@okhdfc,5539
suresh408@oksbi,1254
priya329@okhdfc,7507
kavya981@ybl,2682
neha109@okaxis,1123
sachin858@oksbi,3502
ravi289@ibl,670
pallavi402@okaxis,1240
amit574@okaxis,5339
rekha566@ybl,5961
divya546@okicici,7460
